[
StockUnit{open=137.995, high=138.0, low=137.99, close=137.99, adjustedClose=0.0, volume=2971, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:44:00}, 
StockUnit{open=137.99, high=138.0, low=137.99, close=137.99, adjustedClose=0.0, volume=595, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:43:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=137.995, adjustedClose=0.0, volume=4585, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:42:00}, 
StockUnit{open=137.995, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=2551, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:41:00}, 
StockUnit{open=137.99, high=138.0, low=137.99, close=137.99, adjustedClose=0.0, volume=2118, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:40:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=3346, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:39:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=137.99, adjustedClose=0.0, volume=5609, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:38:00}, 
StockUnit{open=137.99, high=138.0, low=137.98, close=137.99, adjustedClose=0.0, volume=1457, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:37:00}, 
StockUnit{open=137.99, high=138.0, low=137.98, close=137.99, adjustedClose=0.0, volume=5642, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:36:00}, 
StockUnit{open=137.995, high=138.01, low=137.98, close=137.98, adjustedClose=0.0, volume=6778, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:35:00}, 
StockUnit{open=138.005, high=138.01, low=137.99, close=137.99, adjustedClose=0.0, volume=8867, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:34:00}, 
StockUnit{open=138.0, high=138.0192, low=138.0, close=138.01, adjustedClose=0.0, volume=9371, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:33:00}, 
StockUnit{open=138.0097, high=138.02, low=138.0, close=138.005, adjustedClose=0.0, volume=12149, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:32:00}, 
StockUnit{open=138.01, high=138.02, low=138.0, close=138.005, adjustedClose=0.0, volume=615, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:31:00}, 
StockUnit{open=138.02, high=138.02, low=138.0, close=138.01, adjustedClose=0.0, volume=7678, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:30:00}, 
StockUnit{open=138.0, high=138.02, low=138.0, close=138.02, adjustedClose=0.0, volume=2884, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:29:00}, 
StockUnit{open=138.0, high=138.01, low=57.5872, close=138.0, adjustedClose=0.0, volume=7975, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:28:00}, 
StockUnit{open=103.7202, high=138.01, low=87.3127, close=107.0103, adjustedClose=0.0, volume=2236, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:27:00}, 
StockUnit{open=138.01, high=166.25, low=106.1517, close=138.01, adjustedClose=0.0, volume=6359, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:26:00}, 
StockUnit{open=138.0, high=138.02, low=57.5872, close=138.0, adjustedClose=0.0, volume=2969, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:25:00}, 
StockUnit{open=138.005, high=142.0586, low=96.1756, close=138.0, adjustedClose=0.0, volume=5792, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:24:00}, 
StockUnit{open=138.005, high=154.5991, low=91.456, close=138.005, adjustedClose=0.0, volume=12110, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:23:00}, 
StockUnit{open=138.0098, high=150.1412, low=84.6854, close=138.005, adjustedClose=0.0, volume=4929, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 17:22:00}, 
