StockUnit{open=39,2815, high=39,2815, low=39,2815, close=39,2815, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:59.725, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,2815, high=39,2815, low=39,2815, close=39,2815, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:06:59.725, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,2900, high=39,2900, low=39,2900, close=39,2900, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:07:09.511, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,2900, high=39,2900, low=39,2900, close=39,2900, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:07:09.511, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,2900, high=39,2900, low=39,2900, close=39,2900, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:07:18.004, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,2800, high=39,2800, low=39,2800, close=39,2800, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:07:24.687, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,2800, high=39,2800, low=39,2800, close=39,2800, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:07:24.687, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3000, high=39,3000, low=39,3000, close=39,3000, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:07:34.194, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3000, high=39,3000, low=39,3000, close=39,3000, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:07:34.194, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3000, high=39,3000, low=39,3000, close=39,3000, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:07:44.983, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3000, high=39,3000, low=39,3000, close=39,3000, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:07:44.983, symbol=IONQ, percentageChange=0,0, target=0},
