[
StockUnit{open=320.54, high=320.6, low=320.52, close=320.57, adjustedClose=0.0, volume=980, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:18:00}, 
StockUnit{open=320.52, high=320.7, low=320.52, close=320.59, adjustedClose=0.0, volume=2039, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:17:00}, 
StockUnit{open=320.61, high=320.69, low=320.52, close=320.61, adjustedClose=0.0, volume=4482, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:16:00}, 
StockUnit{open=320.65, high=320.7, low=320.6, close=320.645, adjustedClose=0.0, volume=1318, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:15:00}, 
StockUnit{open=320.61, high=320.7, low=320.595, close=320.64, adjustedClose=0.0, volume=1939, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:14:00}, 
StockUnit{open=320.61, high=320.7, low=320.52, close=320.6, adjustedClose=0.0, volume=307, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:13:00}, 
StockUnit{open=320.6, high=320.7, low=320.35, close=320.56, adjustedClose=0.0, volume=2253, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:12:00}, 
StockUnit{open=320.4, high=320.6, low=320.4, close=320.475, adjustedClose=0.0, volume=1337, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:11:00}, 
StockUnit{open=320.38, high=320.45, low=320.35, close=320.405, adjustedClose=0.0, volume=1614, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:10:00}, 
StockUnit{open=320.36, high=320.4, low=320.35, close=320.38, adjustedClose=0.0, volume=961, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:09:00}, 
StockUnit{open=320.35, high=320.4, low=320.33, close=320.375, adjustedClose=0.0, volume=444, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:08:00}, 
StockUnit{open=320.35, high=320.43, low=320.33, close=320.365, adjustedClose=0.0, volume=4475, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:07:00}, 
StockUnit{open=320.3, high=320.35, low=320.29, close=320.335, adjustedClose=0.0, volume=1388, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:06:00}, 
StockUnit{open=320.225, high=320.35, low=320.2, close=320.35, adjustedClose=0.0, volume=770, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:05:00}, 
StockUnit{open=320.25, high=320.3, low=320.2, close=320.2, adjustedClose=0.0, volume=1545, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:04:00}, 
StockUnit{open=320.25, high=320.3, low=320.2, close=320.26, adjustedClose=0.0, volume=689, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:03:00}, 
StockUnit{open=320.22, high=320.35, low=320.2, close=320.2, adjustedClose=0.0, volume=1324, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:02:00}, 
StockUnit{open=320.24, high=320.25, low=320.2, close=320.23, adjustedClose=0.0, volume=1070, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:01:00}, 
StockUnit{open=320.225, high=320.25, low=320.2, close=320.225, adjustedClose=0.0, volume=535, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:00:00}, 
StockUnit{open=320.22, high=320.25, low=320.2, close=320.25, adjustedClose=0.0, volume=1453, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:59:00}, 
StockUnit{open=320.21, high=320.25, low=320.2, close=320.2, adjustedClose=0.0, volume=1149, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:58:00}, 
StockUnit{open=320.255, high=320.301, low=320.2, close=320.22, adjustedClose=0.0, volume=3305, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:57:00}, 
StockUnit{open=320.28, high=320.34, low=320.21, close=320.3, adjustedClose=0.0, volume=1256, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 17:56:00}, 
